,id,tokens,ner_tags
10,Demotermine1250288610183392021-09-18 12:59:11,"['Stuttgart', '-', 'nun', 'wieder', 'Königstraße', 'Richtung', 'HBF', 'Raus', 'auf', 'die', 'Straßen', '@Demotermine']","['B-LOC', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O']"
11,Demotermine1250288610115282021-06-11 11:43:24,"['Leipzig', '@BuergerBewegungLeipzig2021Info', '@SachsenInfoChat', '19062021', 'Raus', 'auf', 'die', 'Straße', '@Demotermine!']","['B-LOC', 'O', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'O']"
12,Demotermine125028861018812020-07-06 22:57:14,"['Berlin', 'staatenlos.info', 'web', ':', 'https://staatenlos.info', 'https://deutsche-heimat.info', 'Telegram', 'https://t.me/befrei', '2', 'https://t.me/TopInfosDiskussion', 'Youtube', 'staatenlos.info3', '-', 'Comedian', 'https://www.youtube.com/user/isibiene', 'Nächste', 'Kundgebung', 'vor', 'dem', 'Reichstag', '11.', 'Juli', '2020', 'ab', 'Uhr', '.', 'Vgl', '@Grundgesetz', '@Demotermine', 'Bilder', 'und', 'Videos', 'hochladen', '@WiderstandAktiv', 'Diskussion', '@DemotermineChat', 'Fahren', 'oder', 'Mitfahren', '@Fahrgemeinschaft', 'Übernachten', '?', '@Unterkuenfte']","['B-LOC', 'B-ORG', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-DATE', 'I-DATE', 'I-DATE', 'O', 'I-TIME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
13,Demotermine125028861095872021-04-27 07:48:39,"['WIR', 'DEMONSTRIEREN', 'JEDEN', 'SAMSTAG', 'IN', 'DÜSSELDORF', 'FÜR', ':', 'Die', 'sofortige', 'Wiederherstellung', 'aller', 'Grundrechte', 'und', 'verhältnismäßige', 'Corona-Maßnahmen', 'auf', 'der', 'Basis', 'fundierter', 'wissenschaftlicher', 'Evidenz', '.', 'Für', 'individuelle', 'Impfentscheidung', '♻', '️', 'Wir', 'haben', 'für', 'den', '01.05.21', 'in', 'Düsseldorf', 'eine', 'Versammlung', 'bzw.', 'Aufzug', 'mit', 'neuer', 'Route', 'angemeldet', 'Macht', 'Schilder', ',', 'Banner', 'Fahnen', 'zu', 'Themen', 'unserer', 'Versammlungen', 'bringt', 'Megaphon', 'Musikboxen', 'Trommeln', 'oder', 'Töpfe', '!', '🥁', '🌕', 'Friede', 'Freiheit', 'SELBSTBESTIMMUNG', 'Grundgesetz', 'Föderalismus', 'schützen', '#TREFFPUNKT', '#CORNELIUSPLATZ', '#Datum:', '01.05.2021', '#Beginn:', '15:00', 'Uhr', '#Aufzug:', 'ca.', '15:45', '#Ende:', '19:30', '*', 'VERSAMMLUNG', 'Mit', 'AUFZUG', 'IST', 'ANGEMELDET', '@NordrheinWestfalenInfoChat', '01052021', 'Raus', 'die', 'Straße', '@Demotermine!']","['O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O', 'B-LOC', 'O', 'B-ACTION', 'O', 'B-ACTION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-DATE', 'O', 'B-TIME', 'I-TIME', 'O', 'O', 'B-TIME', 'O', 'B-TIME', 'O', 'B-ACTION', 'O', 'B-ACTION', 'O', 'O', 'O', 'B-DATE', 'O', 'O', 'O', 'O']"
14,Demotermine12502886108912,"['20', 'Jahre', 'kürzer', 'leben', '–', 'Impfen', 'bei', 'Angst', 'und', 'die', 'heilige', 'Pharma', 'Kuh', '|', 'Prof.', 'Dr.', 'med', '.', 'Schubert', 'QS24', '—', '-', 'Seelen', 'Quickies', 'https://youtu.be/iifNYbF9mEI', '3:04', '@QS24_tv']","['B-TIME', 'I-TIME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TIME', 'O']"
15,Demotermine1250288610190912021-09-24 04:29:48,"['Bitte', 'alles', 'mobilisieren', 'was', 'wir', 'haben', ',', 'müssen', 'mit', 'lauter', 'Stimme', 'vor', 'das', 'Kumi', 'ziehen', '!', 'München', '#BY', '#Do3009', 'Raus', 'auf', 'die', 'Straßen', '@Demotermine']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-LOC', 'B-LOC', 'B-DATE', 'O', 'O', 'O', 'O', 'O']"
16,Demotermine125028861058032021-02-01 23:41:19,"['Autokorso', 'Berlin', 'am', 'Abend', 'Audio-Hintergrund', '@Corona_Reset_Audio', '@Demotermine']","['B-ACTION', 'B-LOC', 'O', 'B-TIME', 'O', 'O', 'O']"
17,Demotermine1250288610114972021-06-10 08:15:28,"['Matrix', '—', 'Querdenken234', '-', 'Bochum', 'https://youtu.be/t6Lxag2AAAw', '0:18', 'Raus', 'auf', 'die', 'Straße', '@Demotermine!']","['O', 'O', 'B-ORG', 'O', 'B-LOC', 'O', 'B-TIME', 'O', 'O', 'O', 'O', 'O']"
18,Demotermine1250288610311512021-12-10 23:08:16,"['📍', 'Bremerhaven', '10.12.2021', ':', 'In', 'haben', 'die', 'Demonstranten', 'den', 'Weihnachtsmarkt', 'erreicht', ',', 'von', 'dem', 'man', 'sie', 'eigentlich', 'fern', 'halten', 'wollte', '.', '„', 'Denn', 'ihr', 'Menschen', 'aus', 'Niedersachsen', 'vergesst', 'es', 'nicht', '!', 'Ihr', 'seid', '""', 'Freie', 'und', 'diese', 'Freiheit', 'holen', 'wir', 'uns', 'alle', 'zusammen', 'friedlich', 'zurück', 'sind', 'zu', 'finden', 'auf', '👉', '🏻', 'Telegram', 'INFO', 'Kanal', 'Bilder', '&', 'Video', 'Sammlung', 'Twitter', 'Facebook', 'YouTube', 'Raus', 'Straßen', '@Demotermine!', 'Übersicht', '/', 'Overview', '👈']","['O', 'B-LOC', 'B-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'B-ORG', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
19,Demotermine1250288610136702021-08-03 11:18:17,"['Das', 'war', 'die', 'Demo-Karte', 'von', 'Frankreich', 'und', 'Italien', '.', 'Demonstrationen', 'im', 'ganzen', 'Land', 'zur', 'gleichen', 'Uhrzeit', 'Was', 'für', 'eine', 'Macht', 'wir', 'haben', ',', 'wenn', 'zusammenhalten', 'etwas', 'gemeinsam', 'gehen', 'kannst', 'du', 'hier', 'visuell', 'erkennen', 'So', 'viele', 'Polizisten', 'kann', 'es', 'gar', 'nicht', 'geben', '✅', '@peacecrowd', 'Frieden', 'beginnt', 'eigenen', 'Herzen', '❤', 'Raus', 'auf', 'Straße', '@Demotermine!']","['O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
20,Demotermine1250288610123602021-07-12 21:16:28,"['Anselm', 'Lenz', '2', '—', 'Querdenken-791', 'https://youtu.be/w-3cCe9g9G4', '1:30', 'Raus', 'auf', 'die', 'Straße', '@Demotermine!']","['B-PER', 'I-PER', 'O', 'O', 'B-ORG', 'O', 'B-TIME', 'O', 'O', 'O', 'O', 'O']"
21,Demotermine1250288610257132021-11-08 02:21:46,"['08.11.', 'TERMINE', 'BUNDESWEIT', '🇩', '🇪', '🇦', '🇹', '🇨', '🇭', 'MONTAG', ',', '8.', 'November', 'Spaziergänge', 'SP', 'Kundgebungen', 'KU', 'Mahnwachen', 'MW', '08112021', '#Mo0811', 'Österreich', '👉', 'Wien', '🕐', '00.00', 'bis', 'Bundeskanzleramt', 'Ballhausplatz', '-', 'Dauerdemo', 'Klagenfurt', '18.00', 'Neuer', 'Markt', 'Lichter', 'Rohrbach', 'Centro', 'Pinzgau', '18.15', 'Alle', 'Orte', 'Salzburg', '19.00', 'Residenzplatz', 'Bad', 'Ischl', '20.00', 'Leharkino', 'P', 'Schweiz', 'Sion', '17.00', 'DSSC', 'Demo', 'Kirchberg', 'BE', 'Gemeindehaus', 'Wangen', 'SZ', 'ISP', 'Zürichsee', 'AG', 'Luzern', 'Schwanenplatz', 'Stiller', '🇳', '🇱', 'Niederlande', 'Hellevoetsluis', 'Prov', '.', 'Südholland', 'j', 'Plein', '(', 'Platz', ')', 'Fort', 'Haerlem', 'innerhalb', 'der', 'Festungsstadt', 'Molenstraat', 'Bundesrepublik', '◼️', 'Baden-Württemberg:', 'Wintersbach', 'Ortszentrum', 'Pforzheim', 'Hilda-Gymnasium,', 'Kiehnlestr', '25', 'Schilderlauf', 'Brackenheim', '18.30', '@TeamFreiheitBrackenheim', 'Bayern', ':', 'Bamberg', 'ggü', 'Bhf.', 'Nürnberg', 'Kornmarkt', 'Kaufbeuren-Neugablonz', '19', '00', 'Berlin', 'Berlin-Treptow', '15.30', 'Hafen', 'zw', 'Anleger', 'C', 'und', 'D', 'Berlin-Infos:', '@BerlinAutoKorsoInfo', '@BerlinInfoChat', '@Demotermine', 'Brandenburg', 'Oranienburg', 'Am', 'Schloß', 'an', 'Havel', 'Neustädtischer', 'Hessen', 'Darmstadt', '17.30', 'Mathildenplatz', 'Hanau', 'Fernwald', 'Fernwaldhalle', 'Bürgeraustausch', 'Mecklenburg-Vorpommern:', 'Rostock', '16.00', 'Stadthafen', 'Schilderaktion', 'Teterow', 'Marktpl', 'Neubrandenburg', 'Aufzug', 'Greifswald', 'Niedersachsen', 'Bremervörde', 'Rathaus', 'Rotenburg', 'a.d', 'W.', 'Celle', 'Stechbahn', '/', 'Kirche', 'Wilhelmshaven', 'Nordrhein-Westfalen:', 'Bottrop', '18', '30', 'Kirchplatz', '1', 'Rheinland-Pfalz:', 'Dürkheim', 'WUMA-Parkplatz,', 'ggü.', 'alte', 'Polizeiwache', 'Sachsen', 'Chemnitz', 'Schillerplatz', 'Dresden', 'Neumarkt', 'Leipzig', 'Richard-Wagner-', 'Zwönitz', 'Zu', 'den', 'weiteren', 'ca.', '75', 'Spaziergängen', 'zu', 'Auswirkungen', 'sächsischen', '2-G-Beschlüsse', 'auf', 'das', 'Versammlungsrecht', 'in', 'siehe', 'auch', '@FreieSachsen', 'Thüringen', 'Greiz', 'Schloßbrücke', 'Apolda', 'Marktplatz', 'Mühlhausen', 'Untermarkt', 'SB', 'Altenburg', 'Sozialgericht', 'Weimar', 'Theaterplatz', 'Weida', 'Schmölln', 'Thüringen-Infos:', 's.a', '@FreieJugend', '[', 'MONTAGS-TERMINE', ']', 'Keine', 'Gewähr', 'Darf', 'gerne', 'geteilt', 'werden', 'Bitte', 'Aktualisierungen', '(=', 'achten', 'Siehe', 'https://demo.terminkalender.top', '@RoyalAllemand']","['B-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'O', 'I-DATE', 'B-ACTION', 'B-ACTION', 'B-ACTION', 'B-ACTION', 'B-ACTION', 'B-ACTION', 'B-DATE', 'B-DATE', 'B-LOC', 'O', 'B-LOC', 'O', 'B-TIME', 'I-TIME', 'B-LOC', 'B-LOC', 'O', 'B-ACTION', 'B-LOC', 'B-TIME', 'B-LOC', 'I-LOC', 'B-ACTION', 'B-LOC', 'B-LOC', 'B-LOC', 'B-TIME', 'O', 'O', 'B-LOC', 'B-TIME', 'B-LOC', 'B-LOC', 'I-LOC', 'B-TIME', 'B-LOC', 'O', 'B-LOC', 'B-LOC', 'B-TIME', 'B-ACTION', 'I-ACTION', 'B-LOC', 'B-LOC', 'B-LOC', 'B-LOC', 'B-LOC', 'B-LOC', 'I-LOC', 'O', 'I-LOC', 'B-LOC', 'B-ACTION', 'O', 'O', 'B-LOC', 'B-LOC', 'B-LOC', 'O', 'I-LOC', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'O', 'I-LOC', 'B-LOC', 'B-LOC', 'O', 'O', 'B-LOC', 'B-LOC', 'B-LOC', 'O', 'B-LOC', 'I-LOC', 'B-ACTION', 'B-LOC', 'B-TIME', 'O', 'B-LOC', 'O', 'B-LOC', 'I-LOC', 'O', 'B-LOC', 'B-LOC', 'B-LOC', 'O', 'O', 'B-LOC', 'B-LOC', 'B-TIME', 'B-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-LOC', 'B-LOC', 'I-LOC', 'O', 'I-LOC', 'B-LOC', 'B-LOC', 'B-LOC', 'I-TIME', 'B-LOC', 'B-LOC', 'B-LOC', 'B-LOC', 'B-ACTION', 'O', 'B-LOC', 'B-TIME', 'B-LOC', 'B-ACTION', 'B-LOC', 'B-LOC', 'B-LOC', 'B-ACTION', 'B-LOC', 'B-LOC', 'B-LOC', 'B-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'B-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'B-LOC', 'O', 'O', 'I-LOC', 'O', 'I-LOC', 'I-LOC', 'I-LOC', 'B-LOC', 'B-LOC', 'B-LOC', 'B-LOC', 'B-LOC', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'B-ACTION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-LOC', 'B-LOC', 'B-LOC', 'B-LOC', 'B-LOC', 'B-LOC', 'B-ACTION', 'B-LOC', 'B-LOC', 'B-LOC', 'B-LOC', 'B-LOC', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
22,Demotermine1250288610210252021-10-11 19:34:39,"['9.10.2021', 'Nürnberg', ',', 'Maske', 'und', 'Abstände', 'kein', 'Problem', 'wenn', 'die', 'Polizei', 'kommt', 'sag', 'einfach', '""', 'SPD', 'FOTO', '—', 'MediaInformationCenter', 'https://youtu.be/5848y4cBTOY', '38:47', 'Raus', 'auf', 'Straßen', '@Demotermine!', '👉', 'Übersicht', '/', 'Overview', '👈']","['I-DATE', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-TIME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
23,Demotermine12502886107669,"['Wenn', 'Sie', 'nach', 'dem', 'Brand', 'im', 'Rechenzentrum', 'und', 'deren', 'Totalverlust', 'von', 'Daten', 'helfen', 'wollen', ',', 'können', 'hier', 'Spenden', ':', 'https://terminkalender.top/spende']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
24,Demotermine125028861071182021-03-05 02:35:15,"['Waren', '(', 'Müritz', ')', 'am', 'Hafen', '@MecklenburgVorpommernInfoChat', '11032021', 'Raus', 'auf', 'die', 'Straße', '@Demotermine!']","['B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'O']"
